cas	inchi	inchikey	smiles	formula	definition	checked	alw_cname	che_cname	che_id	chl_id	chs_id	drb_id	eea_cname	ein_id	etx_cname	etx_id	ipc_name	puc_cid	wid_cname	wid_id	zvg_id	uni_id
26648-01-01																						
2665-13-6																						
2665-28-3	InChI=1S/C12H13Cl4O4P/c1-3-18-21(17,19-4-2)20-12(7-13)8-5-10(15)11(16)6-9(8)14/h5-7H,3-4H2,1-2H3	CLHQARIBFJSSMD-UHFFFAOYSA-N	CCOP(=O)(OCC)OC(=CCl)C1=CC(=C(C=C1Cl)Cl)Cl	C12H13Cl4O4P							85050							94241				
26666-56-8																						
26669-42-1	InChI=1S/C8H12N8/c1-2-10-6-12-7(11-5-3-4-5)14-8(13-6)15-16-9/h5H,2-4H2,1H3,(H2,10,11,12,13,14)	GKLOJAOFAZSGHM-UHFFFAOYSA-N	CCNC1=NC(=NC(=N1)N=[N+]=[N-])NC2CC2	C8H12N8							2300798							3036900				
266692-55-1																						
2667-20-1																						
2667-33-6																						
2667-40-5	InChI=1S/C10H21O4PS2/c1-5-12-15(11,13-6-2)14-9-10(16-7-3)17-8-4/h9H,5-8H2,1-4H3	OGXDOCNBMQFRLU-UHFFFAOYSA-N	CCOP(=O)(OCC)OC=C(SCC)SCC	C10H21O4PS2							173799							200765				
2667-41-6	InChI=1S/C12H13Cl4O4P/c1-3-18-21(17,19-4-2)20-11(12(15)16)8-5-9(13)7-10(14)6-8/h5-7H,3-4H2,1-2H3	YMDBQHQOQJAEAD-UHFFFAOYSA-N	CCOP(=O)(OCC)OC(=C(Cl)Cl)C1=CC(=CC(=C1)Cl)Cl	C12H13Cl4O4P							118568							134516				
26675-46-7	InChI=1S/C3H2ClF5O/c4-1(3(7,8)9)10-2(5)6/h1-2H	PIWKPBJCKXDKJR-UHFFFAOYSA-N	C(C(F)(F)F)(OC(F)F)Cl	C3H2ClF5O				isoflurane	CHEBI:6015		3631							3763				
2668-24-8											16619											
2668-66-8								Medrysone	CHEBI:34829													
2668-92-0																						
26680-10-04	InChI=1S/C6H8O4/c1-3-5(7)10-4(2)6(8)9-3/h3-4H,1-2H3	JJTUDXZGHPGLLC-UHFFFAOYSA-N	CC1C(=O)OC(C(=O)O1)C	C6H8O4														7272	3,6-Dimethyl-1,4-dioxane-2,5-dione homopolymer	Q72469818		7B01B0FN51
2669-32-1	InChI=1S/C7H13N2O4PS3/c1-4-13-6-8-9(7(10)17-6)5-16-14(15,11-2)12-3/h4-5H2,1-3H3	FPMIAGPUNXEUCZ-UHFFFAOYSA-N	CCOC1=NN(C(=O)S1)CSP(=S)(OC)OC	C7H13N2O4PS3			lythidathion	Lythidathion	CHEBI:82138		16622							17580				
2671-93-4											940168											
267243-28-7					A quinazoline compound having a 3-chloro-4-fluoroanilino group at the 4-position, a propenamido group at the 6-position, and a 3-morpholinopropoxy group at the 7-position.			canertinib	CHEBI:61399													
2674-91-1	InChI=1S/C7H17O4PS2/c1-5-14(9)6-7(2)13-12(8,10-3)11-4/h7H,5-6H2,1-4H3	JAYZFNIOOYPIAH-UHFFFAOYSA-N	CCS(=O)CC(C)SP(=O)(OC)OC	C7H17O4PS2			oxydeprofos	Oxydeprofos	CHEBI:82123		82644							91523				
26742-60-9																						
26742-62-1																						
2675-77-6	InChI=1S/C8H8Cl2O2/c1-11-7-3-6(10)8(12-2)4-5(7)9/h3-4H,1-2H3	PFIADAMVCJPXSF-UHFFFAOYSA-N	COC1=CC(=C(C=C1Cl)OC)Cl	C8H8Cl2O2	A dimethoxybenzene that is p-dimethoxybenzene which is substituted by chlorines at positions 2 and 5. A fungicide formerly used as a seed treatment, it is not approved for use in the European Union.		chloroneb	chloroneb	CHEBI:3628		16623							17581				
26750-44-7	InChI=1S/C4H10S2/c1-2-6-4-3-5/h5H,2-4H2,1H3	IYQVQZXLTJHEKZ-UHFFFAOYSA-N	CCSCCS	C4H10S2				2-(ethylsulfanyl)ethanethiol	CHEBI:38625		30994							33596	2-(ethylsulfanyl)ethanethiol	Q27117924		
26760-64-5	InChI=1S/C5H10/c1-4-5(2)3/h2,4H2,1,3H3	MHNNAWXXUZQSNM-UHFFFAOYSA-N	CCC(=C)C	C5H10							10766							11240				
26761-40-0	InChI=1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3	ZVFDTKUVRCTHQE-UHFFFAOYSA-N	CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C	C28H46O4				Diisodecyl phthalate	CHEBI:34709									33599				
26763-63-3	InChI=1S/C13H12N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H,(H2,14,15,16)	GWEHVDNNLFDJLR-UHFFFAOYSA-N	C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2	C13H12N2O					CHEBI:41320	CHEMBL354676	30999	7496		203-003-7				7595	1,3-diphenylurea	Q27096716		94YD8RMX5B
26766-27-8	InChI=1S/C17H12Cl2N2O/c18-14-6-7-15(16(19)8-14)17(22,12-4-2-1-3-5-12)13-9-20-11-21-10-13/h1-11,22H	MYUPFXPCYUISAG-UHFFFAOYSA-N	C1=CC=C(C=C1)C(C2=C(C=C(C=C2)Cl)Cl)(C3=CN=CN=C3)O	C17H12Cl2N2O	A racemate consisting or equimolar amounts of (R)- and (S)-triarimol. An obsolete fungicide.		triarimol	triarimol	CHEBI:82074		31000							33605				
2678-21-9	InChI=1S/C6HCl3N2O4/c7-2-1-3(10(12)13)5(9)6(4(2)8)11(14)15/h1H	OFMRACCIIIDSDN-UHFFFAOYSA-N	C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-]	C6HCl3N2O4							16626							17584				
26780-96-1	InChI=1S/C12H15N/c1-9-8-12(2,3)13-11-7-5-4-6-10(9)11/h4-8,13H,1-3H3	ZNRLMGFXSPUZNR-UHFFFAOYSA-N	CC1=CC(NC2=CC=CC=C12)(C)C	C12H15N										500-051-3				8981	Poly(1,2-dihydro-2,2,4-trimethylquinoline)	Q72501288	531435	
2682-20-4	InChI=1S/C4H5NOS/c1-5-4(6)2-3-7-5/h2-3H,1H3	BEGLCMHJXHIJLR-UHFFFAOYSA-N	CN1C(=O)C=CS1	C4H5NOS	A 1,2-thazole that is 4-isothiazolin-3-one bearing a methyl group on the nitrogen atom. It is a powerful biocide and preservative and is the minor active ingredient in the commercial product Kathon(TM).			methylisothiazolinone	CHEBI:53620	CHEMBL1620780	36393			220-239-6				39800	methylisothiazolinone	Q423870	570030	229D0E1QFA
2683-43-4																						
26837-42-3	InChI=1S/C2H4O4S.K/c1-2-6-7(3,4)5;/h2H,1H2,(H,3,4,5);/q;+1/p-1	WZAPMUSQALINQD-UHFFFAOYSA-M	C=COS(=O)(=O)[O-].[K+]	C2H3KO4S														5055241				
26839-75-8					The (S)-(-) (more active) enantiomer of timolol. A beta-adrenergic antagonist, both the hemihydrate and the maleate salt are used in the mangement of glaucoma, hypertension, angina pectoris and myocardial infarction, and for the prevention of migraine.			(S)-timolol (anhydrous)	CHEBI:9599													
2686-99-9					A carbamate ester that consists of 3,4,5-trimethylphenol carrying an O-(N-methylcarbamoyl) group. One of two constituents of trimethacarb.			3,4,5-trimethylphenyl methylcarbamate	CHEBI:38894													
2687-12-09											85051											
2687-94-7	InChI=1S/C12H23NO/c1-2-3-4-5-6-7-10-13-11-8-9-12(13)14/h2-11H2,1H3	WPPOGHDFAVQKLN-UHFFFAOYSA-N	CCCCCCCCN1CCCC1=O	C12H23NO							2298449							3033871	N-Octyl pyrrolidone	Q63395635	530545	
2687-96-9	InChI=1S/C16H31NO/c1-2-3-4-5-6-7-8-9-10-11-14-17-15-12-13-16(17)18/h2-15H2,1H3	NJPQAIBZIHNJDO-UHFFFAOYSA-N	CCCCCCCCCCCCN1CCCC1=O	C16H31NO	Pyrrolidin-2-one substituted at nitrogen by an n-dodecyl group.			1-dodecylpyrrolidin-2-one	CHEBI:146192		56239							62459				
2688-84-8	InChI=1S/C12H11NO/c13-11-8-4-5-9-12(11)14-10-6-2-1-3-7-10/h1-9H,13H2	NMFFUUFPJJOWHK-UHFFFAOYSA-N	C1=CC=C(C=C1)OC2=CC=CC=C2N	C12H11NO							68404							75899				
26896-20-8	InChI=1S/C10H20O2/c1-10(2,3)8-6-4-5-7-9(11)12/h4-8H2,1-3H3,(H,11,12)	YPIFGDQKSSMYHQ-UHFFFAOYSA-N	CC(C)(C)CCCCCC(=O)O	C10H20O2							56572			248-093-9				62838	neodecanoic acid	Q17046277	136088	GI044Q7IJ4
26896-31-1																						
2690-08-06	InChI=1S/C16H34S/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h3-16H2,1-2H3	LOXRGHGHQYWXJK-UHFFFAOYSA-N	CCCCCCCCSCCCCCCCC	C16H34S							68406							75901				
26905-48-6																						
2691-41-0	InChI=1S/C4H8N8O8/c13-9(14)5-1-6(10(15)16)3-8(12(19)20)4-7(2-5)11(17)18/h1-4H2	UZGLIIJVICEWHF-UHFFFAOYSA-N	C1N(CN(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	C4H8N8O8	A tetrazocane that is 1,3,5,7-tetrazocane in which the hydrogen atom attached to each of the nitrogens is replaced by a nitro group.			octogen	CHEBI:33176		16636			220-260-0				17596	octogen	Q422206	113259	LLW94W5BSJ
26913-06-04																						
26914-33-0	InChI=1S/C12H6Cl4/c13-9-6-8(7-4-2-1-3-5-7)10(14)12(16)11(9)15/h1-6H	HLQDGCWIOSOMDP-UHFFFAOYSA-N	C1=CC=C(C=C1)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl	C12H6Cl4							33457							36401				
26915-12-08																						
26921-17-5					The maleic acid salt of the active (S)-enantiomer of timolol, comprising equimolar amounts of (S)-timolol and maleic acid.			(S)-timolol maleate	CHEBI:9600													
2693-61-0					A hydroxyyridine that is 4-hydroxypyridine which is substituted by fluorines at positions 2 and 6, and by chlorines at positions 3 and 5. An obsolete herbicide, formerly used to control selective broad-leaved and grass weeds in crops such as potatoes.		haloxydine	haloxydine	CHEBI:82213													
26932-45-6	InChI=1S/C6H12N2O4Se2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m1/s1	JULROCUWKLNBSN-QWWZWVQMSA-N	C(C(C(=O)O)N)[Se][Se]CC(C(=O)O)N	C6H12N2O4Se2														33648				
26937-01-09																						
7248-07-06																						
7248-08-07																						
7248-09-08																						
7248-10-01																						
26952-13-6	InChI=1S/C14H28/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3H,1,4-14H2,2H3	HFDVRLIODXPAHB-UHFFFAOYSA-N	CCCCCCCCCCCCC=C	C14H28					CHEBI:77505	CHEMBL1892257	13622			214-306-9				14260	tetradecene	Q27147080	493901	FW23481S7S
26952-20-5							picloram-isoctyl															
26952-21-6	InChI=1S/C8H18O/c1-8(2)6-4-3-5-7-9/h8-9H,3-7H2,1-2H3	BWDBEAQIHAEVLV-UHFFFAOYSA-N	CC(C)CCCCCO	C8H18O							7434			248-133-5				15450	isooctyl alcohol	Q12021868	27330	24SN77KGQP
26952-23-8																						
2697-61-2	InChI=1S/C4H12N2Se2/c5-1-3-7-8-4-2-6/h1-6H2	QNGIKJLVQNCRRC-UHFFFAOYSA-N	C(C[Se][Se]CCN)N	C4H12N2Se2							103013							115119				
26970-82-1	InChI=1S/2Na.H2O3Se.5H2O/c;;1-4(2)3;;;;;/h;;(H2,1,2,3);5*1H2/q2*+1;;;;;;/p-2	TUANAMBRHOLYTH-UHFFFAOYSA-L	O.O.O.O.O.[O-][Se](=O)[O-].[Na+].[Na+]	H10Na2O8Se	A hydrate that is the pentahydrate form of disodium selenite.			disodium selenite pentahydrate	CHEBI:131361		118907							134930				
26971-85-7																						
26972-01-0																						
2698-38-6							MCPA-ethyl				16643											
2698-40-0							MCPA-isopropyl															
2698-41-1											16644											
26983-52-8																						
2699-79-8	InChI=1S/F2O2S/c1-5(2,3)4	OBTWBSRJZRCYQV-UHFFFAOYSA-N	O=S(=O)(F)F	F2O2S			sulfuryl fluoride	sulfuryl difluoride	CHEBI:39287		16647			220-281-5				17607	sulfuryl fluoride	Q423633	500105	64B59K7U6Q
26998-80-1	InChI=1S/C9H12O/c1-6-4-5-9(10)8(3)7(6)2/h4-5,10H,1-3H3	XRUGBBIQLIVCSI-UHFFFAOYSA-N	CC1=C(C(=C(C=C1)O)C)C	C9H12O							61538							68237				
2700-49-4																						
2700-77-8																						
7927-11-09																						
2701-86-2	InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-7-9(14)5-6-11(10)15/h5-8H,3-4H2,1-2H3	SRZOWOUWGAIUTI-UHFFFAOYSA-N	CCOP(=O)(OCC)OC(=CCl)C1=C(C=CC(=C1)Cl)Cl	C12H14Cl3O4P							82645							91524				
27013-91-8					A triterpenoid saponin that is hederagenin attached to a 2-O-(6-deoxy-alpha-L-mannopyranosyl)-alpha-L-arabinopyranosyl residue at position 3 via a glycosidic linkage. It has been isolated from the stem bark of Kalopanax pictus.			kalopanaxsaponin A	CHEBI:69370													
2702-72-9							2,4-D-sodium															
2703-13-1																						
2703-37-9																						
27041-82-3																						
27041-84-5																						
2705-87-5								Allyl cyclohexylpropionate	CHEBI:31188		16654											
27050-41-5							clenpirin				16741869											
2706-56-1	InChI=1S/C7H10N2/c8-5-4-7-3-1-2-6-9-7/h1-3,6H,4-5,8H2	XPQIPUZPSLAZDV-UHFFFAOYSA-N	C1=CC=NC(=C1)CCN	C7H10N2	An aminoalkylpyridine that is pyridine substituted by a ethanamino group at position 2.			2-pyridylethylamine	CHEBI:74024	CHEMBL32813	68424			220-295-1				75919	2-pyridineethanamine	Q4596923		ATW1AH7OJ5
2706-89-0																						
2706-90-3	InChI=1S/C5HF9O2/c6-2(7,1(15)16)3(8,9)4(10,11)5(12,13)14/h(H,15,16)	CXZGQIAOTKWCDB-UHFFFAOYSA-N	C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O	C5HF9O2	A monocarboxylic acid that is perfluorinated pentanoic acid.			perfluoropentanoic acid	CHEBI:83491	CHEMBL173263	68426			220-300-7				75921	perfluoropentanoic acid	Q27156873		
2706-91-4	InChI=1S/C5HF11O3S/c6-1(7,2(8,9)4(12,13)14)3(10,11)5(15,16)20(17,18)19/h(H,17,18,19)	ACEKLXZRZOWKRY-UHFFFAOYSA-N	C(C(C(F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F	C5HF11O3S							68427							75922				
2709-56-0					A thioxanthene derivative having a trifluoromethyl substituent at the 2-position and a 3-(4-(2-hydroxyethyl)piperazin-1-yl)propylidene group at the 10-position with undefined double bond stereochemistry.			flupenthixol	CHEBI:5121		4445173											
271-44-3	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)5-8-9-7/h1-5H,(H,8,9)	BAXOFTOLAUCFNW-UHFFFAOYSA-N	C1=CC=C2C(=C1)C=NN2	C7H6N2				1H-indazole	CHEBI:36669	CHEMBL86795	8866			205-978-4				9221	1H-indazole	Q417106		7C4VQE5C03
271-58-9	InChI=1S/C7H5NO/c1-2-4-7-6(3-1)5-9-8-7/h1-5H	FZKCAHQKNJXICB-UHFFFAOYSA-N	C1=CC2=CON=C2C=C1	C7H5NO	A benzoxazole in which the benzene ring is fused to a 1,2-oxazole ring across positions 3 and 4.			2,1-benzoxazole	CHEBI:51555	CHEMBL508432	60822			205-980-5				67498	2,1-benzisoxazole	Q27122650		
271-63-6	InChI=1S/C7H6N2/c1-2-6-3-5-9-7(6)8-4-1/h1-5H,(H,8,9)	MVXVYAKCVDQRLW-UHFFFAOYSA-N	C1=CC2=C(NC=C2)N=C1	C7H6N2														9222				
271-89-6	InChI=1S/C8H6O/c1-2-4-8-7(3-1)5-6-9-8/h1-6H	IANQTJSKSUMEQM-UHFFFAOYSA-N	C1=CC=C2C(=C1)C=CO2	C8H6O	A benzofuran consisting of fused benzene and furan rings. It is the parent compound of the class of 1-benzofurans.			1-benzofuran	CHEBI:35260		8868							9223	Benzofuran	Q73209965		
271-95-4	InChI=1S/C7H5NO/c1-2-4-7-6(3-1)5-8-9-7/h1-5H	KTZQTRPPVKQPFO-UHFFFAOYSA-N	C1=CC=C2C(=C1)C=NO2	C7H5NO	A benzoxazole in which the benzene ring is fused to a 1,2-oxazole ring across positions 4 and 5.			1,2-benzoxazole	CHEBI:51554	CHEMBL314871	64227			205-983-1				71073	1,2-benzisoxazole	Q791818		
27107-79-5																						
27134-27-6								dichloroaniline	CHEBI:23696		136969								dichloroaniline	Q1209394		
27152-57-4	InChI=1S/2AsO3.3Ca/c2*2-1(3)4;;;/q2*-3;3*+2	MHUYNKTVRSCHBE-UHFFFAOYSA-N	[O-][As]([O-])[O-].[O-][As]([O-])[O-].[Ca+2].[Ca+2].[Ca+2]	As2Ca3O6							37018							33719				
27164-46-1					A cephalosporin organic sodium salt having [(5-methyl-1,3,4-thiadiazol-2-yl)sulfanyl]methyl and (1H-tetrazol-1-ylacetyl)amino side-groups.			cefazolin sodium	CHEBI:3483													
2717-42-2	InChI=1S/C13H14/c1-9-8-10(2)12-6-4-5-7-13(12)11(9)3/h4-8H,1-3H3	JCNGSJUYPCVGAM-UHFFFAOYSA-N	CC1=CC(=C(C2=CC=CC=C12)C)C	C13H14							68437			220-313-8				75933	1,2,4-trimethylnaphthalene	Q27287952		R84164E1HA
27176-87-0											8172											
27176-93-8	InChI=1S/C19H32O3/c1-2-3-4-5-6-7-8-11-18-12-9-10-13-19(18)22-17-16-21-15-14-20/h9-10,12-13,20H,2-8,11,14-17H2,1H3	RRLGETDMEIMLQU-UHFFFAOYSA-N	CCCCCCCCCC1=CC=CC=C1OCCOCCO	C19H32O3							2297708							3032832				
27177-03-03																						
27177-05-05	InChI=1S/C31H56O9/c1-2-3-4-5-6-7-8-9-30-10-12-31(13-11-30)40-29-28-39-27-26-38-25-24-37-23-22-36-21-20-35-19-18-34-17-16-33-15-14-32/h10-13,32H,2-9,14-29H2,1H3	XXPRRHYTDCWGRP-UHFFFAOYSA-N	CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO	C31H56O9							65318							72384				
27178-34-3																						
27189-59-9																						
2719-15-5	InChI=1S/C9H10N2O3/c1-6-5-8(11(13)14)3-4-9(6)10-7(2)12/h3-5H,1-2H3,(H,10,12)	JZEOVPGWIWSSAK-UHFFFAOYSA-N	CC1=C(C=CC(=C1)[N+](=O)[O-])NC(=O)C	C9H10N2O3							68440							75936	4'-Nitro-o-acetotoluidide	Q81990141		
2719-61-1	InChI=1S/C18H30/c1-3-4-5-6-7-8-9-11-14-17(2)18-15-12-10-13-16-18/h10,12-13,15-17H,3-9,11,14H2,1-2H3	VRPRIAVYSREHAN-UHFFFAOYSA-N	CCCCCCCCCCC(C)C1=CC=CC=C1	C18H30							16662							17628				
27193-28-8									CHEBI:9750		13106			618-344-0					Triton X-100	Q421654		480KVF3EBY
2720-18-5																						
2720-19-6																						
2720-73-2	InChI=1S/C6H12OS2.K/c1-2-3-4-5-7-6(8)9;/h2-5H2,1H3,(H,8,9);/q;+1/p-1	YIBBMDDEXKBIAM-UHFFFAOYSA-M	CCCCCOC(=S)[S-].[K+]	C6H11KOS2							16668							493949				
2720-76-5	InChI=1S/C7H14OS2.K/c1-2-3-4-5-6-8-7(9)10;/h2-6H2,1H3,(H,9,10);/q;+1/p-1	ZTHBGWDIOJXYNC-UHFFFAOYSA-M	CCCCCCOC(=S)[S-].[K+]	C7H13KOS2														23691006				
27200-90-4																						
27203-92-5					A racemate consisting of equal amounts of (R,R)- and (S,S)-tramadol. A centrally acting synthetic opioid analgesic, used (as the hydrochloride salt) to treat moderately severe pain. The (R,R)-enantiomer exhibits ten-fold higher analgesic potency than the (S,S)-enantiomer. Originally developed by Gruenenthal GmbH and launched in 1977, it was subsequently isolated from the root bark of the South African tree Nauclea latifolia.			tramadol	CHEBI:9648													
27205-03-04																						
27214-00-2	InChI=1S/C3H9O6P.Ca/c4-1-3(5)2-9-10(6,7)8;/h3-5H,1-2H2,(H2,6,7,8);/q;+2/p-2	IWIRHXNCFWGFJE-UHFFFAOYSA-L	C(C(COP(=O)([O-])[O-])O)O.[Ca+2]	C3H7CaO6P	An organic calcium salt having glycerol 2-phosphate(2-) as the counterion.			calcium glycerophosphate	CHEBI:31336	CHEMBL3707206	107213			261-240-1				120096	calcium 2-glycerophosphate	Q4119838		Y56W30YB7O
27215-38-9																						
27215-95-8	InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3	JRZJOMJEPLMPRA-UHFFFAOYSA-N	CCCCCCCC=C	C9H18							29025							31285	nonene	Q151398		
27218-04-08																						
27220-47-9	InChI=1S/C18H15Cl3N2O/c19-14-3-1-13(2-4-14)11-24-18(10-23-8-7-22-12-23)16-6-5-15(20)9-17(16)21/h1-9,12,18H,10-11H2	LEZWWPYKPKIXLL-UHFFFAOYSA-N	C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl	C18H15Cl3N2O	A racemate composed of equimolar amounts of (R)- and (S)-econazole. Used (as its nitrate salt) to treat skin infections such as athlete's foot, jock itch, ringworm and other fungal skin infections.			econazole	CHEBI:4754		3086							3198				
27236-46-0	InChI=1S/C6H12/c1-4-5-6(2)3/h2,4-5H2,1,3H3	WWUVJRULCWHUSA-UHFFFAOYSA-N	CCCC(=C)C	C6H12							12446							12986				
27236-65-3																						
2724-57-4	InChI=1S/C14H28O2/c1-13(2)11-9-7-5-3-4-6-8-10-12-14(15)16/h13H,3-12H2,1-2H3,(H,15,16)	YYVJAABUJYRQJO-UHFFFAOYSA-N	CC(C)CCCCCCCCCCC(=O)O	C14H28O2	A branched-chain saturated fatty acid consisting of tridecanoic acid carrying a 12-methyl group.			isomyristic acid	CHEBI:43722		453842			608-066-8				520298	12-methyltridecanoic acid	Q27104512		J1241I451J
272451-65-7							flubendiamide	flubendiamide	CHEBI:38798		9368325											
27251-75-8	InChI=1S/C33H54O6/c1-25(2)16-10-7-13-21-37-31(34)28-19-20-29(32(35)38-22-14-8-11-17-26(3)4)30(24-28)33(36)39-23-15-9-12-18-27(5)6/h19-20,24-27H,7-18,21-23H2,1-6H3	WDRCVXGINNJWPH-UHFFFAOYSA-N	CC(C)CCCCCOC(=O)C1=CC(=C(C=C1)C(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C	C33H54O6														21871905				
10640-05-01																						
272784-90-4																						
273-21-2	InChI=1S/C6H5N3/c1-2-5-6(7-3-1)9-4-8-5/h1-4H,(H,7,8,9)	GAMYYCRTACQSBR-UHFFFAOYSA-N	C1=CC2=C(N=C1)N=CN2	C6H5N3	The [4,5-b]-fused isomer of imidazopyridine.			4-azabenzimidazole	CHEBI:59952		60828							67504				
27304-13-8								Oxychlordane	CHEBI:81541													
27306-78-1																						
27314-13-2	InChI=1S/C12H9ClF3N3O/c1-17-9-6-18-19(11(20)10(9)13)8-4-2-3-7(5-8)12(14,15)16/h2-6,17H,1H3	NVGOPFQZYCNLDU-UHFFFAOYSA-N	CNC1=C(C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F)Cl	C12H9ClF3N3O	A pyridazinone that is pyridazin-3(2H)-one which is substituted at positions 2, 4, and 5 by m-(trifluoromethyl)phenyl, chloro, and methylamino groups, respectively. A pre-emergence herbicide used to control grasses and broad-leafed weeds in a variety of crops. Not approved for use within the European Union.		norflurazon	norflurazon	CHEBI:50842	CHEMBL1881194	31131			248-397-1				33775	norflurazon	Q1321843	490674	KES1HB07E4
27323-18-8	InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H	LAXBNTIAOJWAOP-UHFFFAOYSA-N	C1=CC=C(C=C1)C2=CC=CC=C2Cl	C12H9Cl	A  chlorobiphenyl carrying a single chloro substituent at unspecified position.			monochlorobiphenyl	CHEBI:36717	CHEMBL191745	218253			218-125-6				249266	2-chlorobiphenyl	Q22137046		2E08SP4D3P
27323-66-6	InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3	PVOAHINGSUIXLS-UHFFFAOYSA-N	CN1CCNCC1	C5H12N2							48024							53167				
2734-78-3																						
27342-88-7	InChI=1S/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3	LQZZUXJYWNFBMV-UHFFFAOYSA-N	CCCCCCCCCCCCO	C12H26O							7901							8193	dodecanol	Q3033690		
27344-41-8																						
27355-22-2	InChI=1S/C8H2Cl4O2/c9-4-2-1-14-8(13)3(2)5(10)7(12)6(4)11/h1H2	NMWKWBPNKPGATC-UHFFFAOYSA-N	C1C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)C(=O)O1	C8H2Cl4O2	A member of the class of 2-benzofurans that is 2-benzofuran-1(3H)-one in which all or the hydrogens attached to the benzene ring are replaced by chlorines. A fungicide used for the control of rice blast, it is not approved for use within the European Union.		phthalide	4,5,6,7-tetrachloro-2-benzofuran-1(3H)-one	CHEBI:47617	CHEMBL357452	31144	3302		608-088-8				33791	4,5,6,7-tetrachloro-3H-isobenzofuran-1-one	Q27094229		
2738-64-9					A member of the class of monohydroxypyridines that acts as an irreversible mitochondrial Complex I inhibitor that strongly associates with ubiquinone binding sites in both mitochondrial and bacterial forms of NADH:ubiquinone oxidoreductase			piericidin A	CHEBI:138511		59718985											
27386-64-7							mecarbinzid	Mecarbinzid	CHEBI:82083													
27399-43-5																						
0274-09-09	InChI=1S/C7H6O2/c1-2-4-7-6(3-1)8-5-9-7/h1-4H,5H2	FTNJQNQLEGKTGD-UHFFFAOYSA-N	C1OC2=CC=CC=C2O1	C7H6O2	A benzodioxole consisting of a benzene ring substituted by a the methylenedioxy group.			1,3-benzodioxole	CHEBI:38732		13881169			205-992-0				9229	1,2-(methylenedioxy)benzene	Q3544944		F0XLL582B8
2740-81-0	InChI=1S/C7H4ClNS/c8-6-3-1-2-4-7(6)9-5-10/h1-4H	DASSPOJBUMBXLU-UHFFFAOYSA-N	C1=CC=C(C(=C1)N=C=S)Cl	C7H4ClNS							109786							123171				
2741-06-02	InChI=1S/C9H12N2S/c1-2-10-9(12)11-8-6-4-3-5-7-8/h3-7H,2H2,1H3,(H2,10,11,12)	OROCFDLTBPBLFS-UHFFFAOYSA-N	CCNC(=S)NC1=CC=CC=C1	C9H12N2S							1554357							2063659				
27458-93-1	InChI=1S/C18H38O/c1-18(2)16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-19/h18-19H,3-17H2,1-2H3	WNWHHMBRJJOGFJ-UHFFFAOYSA-N	CC(C)CCCCCCCCCCCCCCCO	C18H38O							56559			248-470-8				62825	Isooctadecanol	Q72485475	136396	Q613OCQ44Y
27459-10-05																						
27460-00-0	InChI=1S/C10H8S/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H	SEXOVMIIVBKGGM-UHFFFAOYSA-N	C1=CC=C2C(=C1)C=CC=C2S	C10H8S							61557							68259				
274692-24-9																			Hot Sauce	Q2377296		
27478-26-8																						
2749-70-4																						
